gene_name	gene_id	protein_id	transcript_count	dmr_transcript_count	dmr_count	dmr_A_count	dmr_C_count	dmr_G_count	dmr_U_count	gene_level_ont_C3	gene_level_ont_C4	ont_gene_log2FC_C4vsC3	ont_gene_pval	ont_gene_qval	protein_level_C3	protein_level_C4	protein_log2FC_C4vsC3	protein_pval	protein_qval	median_transcript_len
CA12	ENSG00000074410	O43570	1	1	5	2	0	2	1	5.5328415612253234	6.4853695899497525	0.9319650259122232	0.0197253913987936	0.3143985853562829	13.479661079509892	14.269613311365255	0.816211075453724	2.22398351460764e-06	3.19824634359566e-05	2744.0
IL6ST	ENSG00000134352	P40189	3	3	5	1	2	0	2	8.435218149931792	9.44042293703355	1.0266245703884564	0.0001952491762872	0.0099449743487155	13.370628232247258	13.90676113197415	0.595040888788809	1.58448115576016e-08	3.49325689826346e-07	8776.0
IER3	ENSG00000137331	P46695	6	3	5	0	3	0	2	8.868928322931053	7.9347840954318425	-0.9920527904589448	0.0018197860129205	0.0600529384263788	0.0	0.0	0.0	1.0	1.0	1244.0
P4HB	ENSG00000185624	P07237	14	4	5	1	1	2	1	11.049487446921479	11.305459823588421	0.2293269110691795	0.440087998829481	0.9990269081233384	18.679827617525724	18.800130824649074	0.140025910636146	0.523165892420094	0.88038549048181	2444.0
CRLF1	ENSG00000006016	O75462	2	2	5	1	3	0	1	9.165939086342409	6.814092408589549	-2.442321388131216	1.145274939739663e-12	4.4722986396833836e-10	0.0	0.0	0.0	1.0	1.0	1743.5
PKN1	ENSG00000123143	Q16512	1	2	5	1	2	1	1	6.792862307656078	7.184641610751509	0.3833302969185679	0.1998958288836151	0.8893008067581282	13.654164229686053	13.376623776090389	-0.222442410485745	0.0429846671880481	0.153466366910826	3120.0
ELL2	ENSG00000118985	O00472	1	1	5	1	1	0	3	5.704586441477559	5.948436109333754	0.2374653887682268	0.5045175543790752	0.9990269081233384	0.0	0.0	0.0	1.0	1.0	5826.0
HIF1A	ENSG00000100644	Q16665	4	2	5	0	0	0	5	9.325461544682517	9.017101361909527	-0.3302595458091283	0.1731897901340982	0.8523541602118044	0.0	0.0	0.0	1.0	1.0	3738.5
CALD1	ENSG00000122786	Q05682	4	2	5	1	0	0	4	8.699860117294337	8.219257891952815	-0.492809172798607	0.073084952909416	0.601891193907774	18.531408090783184	17.933249426935976	-0.580781497020829	3.84311159223376e-16	2.29211266122069e-14	4143.5
CALM1	ENSG00000198668	P0DP23	5	1	5	0	2	0	3	8.239218222637712	8.716473535130243	0.463200695044857	0.0653354100633117	0.566966169549405	17.2636956841114	17.70423110090113	0.369805832247023	0.173750663095644	0.435799582602885	1420.0
GPX8	ENSG00000164294	Q8TED1	2	1	5	1	2	0	2	8.42752935124695	8.261038751095874	-0.1717650236893687	0.4759485682011973	0.9990269081233384	16.62235514722679	16.329436598726975	-0.299113730885211	4.57266629384682e-06	6.02528540021769e-05	2383.5
USO1	ENSG00000138768	O60763	2	1	5	1	1	0	3	3.520816096839128	3.98671002742056	0.4790659640478197	0.4595720248315531	1.0	15.831251587607296	15.695147737163335	-0.100167423393109	0.776718934204509	1.0	4129.0
COL6A1	ENSG00000142156	P12109	1	1	5	0	3	0	2	8.03260748384382	7.905554711678145	-0.1777033419547134	0.8671363436478849	0.9990269081233384	15.609003424423172	15.861716774137236	0.270818104268168	2.7653418214949e-07	4.73366367389429e-06	4203.0
TPBG	ENSG00000146242	Q13641	6	3	4	1	2	0	1	6.221567079989596	6.434692738038818	0.1969231278054715	0.5374066637353605	0.9990269081233384	17.039902395231717	17.27569483537841	0.234498730843866	0.451901933440796	0.810290034805894	3141.0
HLA-E	ENSG00000204592	P13747	7	3	4	1	2	0	1	8.263714231739488	8.115742897486218	-0.1895196134990462	0.5060759690066373	0.9990269081233384	12.796365185005406	13.051970929169245	0.247467335532213	0.180579748359517	0.446522073444005	2601.0
UBXN4	ENSG00000144224	Q92575	1	1	4	2	0	0	2	6.028929185247383	6.114604439164246	0.0966010049492128	0.7830406207706941	0.9990269081233384	14.99245852374035	15.173617891055942	0.189295285018958	0.166253522809988	0.420344694440603	3771.0
DCTN2	ENSG00000175203	Q13561	4	1	4	0	1	0	3	7.3531539549183975	7.136384188252157	-0.2343282689558782	0.3898605565745207	0.9990269081233384	16.679248684259157	16.813588322358747	0.14149010408891	0.645497758473974	0.987963118431526	1803.5
TSKU	ENSG00000182704	Q8WUA8	3	1	4	0	2	0	2	6.846224941191437	6.6212818539579565	-0.2227518282515282	0.5039589855607934	0.9990269081233384	12.476775744625098	12.284854973216529	-0.102732442214055	0.898997268536847	1.0	2666.0
RAI14	ENSG00000039560	Q9P0K7	3	1	4	0	1	1	2	7.060835673600018	7.276287009956136	0.2247835088216522	0.4516098868580905	0.9990269081233384	15.232658989307458	15.326672085711397	0.115157775812041	0.197163750259199	0.473628042842518	4986.0
