contig	polya_length	coverage	run	condition
ENST00000216252.4	59	38	s4_r3	s4
ENST00000216254.9	45	29	s4_r3	s4
ENST00000216259.8	63	62	s4_r3	s4
ENST00000216264.13	52	58	s4_r3	s4
ENST00000216267.12	58	2	s4_r3	s4
ENST00000216268.6	76	7	s4_r3	s4
ENST00000216277.13	40	54	s4_r3	s4
ENST00000216281.13	143	649	s4_r3	s4
ENST00000216286.10	125	2	s4_r3	s4
ENST00000216294.5	151	22	s4_r3	s4
ENST00000216297.7	37	43	s4_r3	s4
ENST00000216330.7	36	36	s4_r3	s4
ENST00000216350.12	68	6	s4_r3	s4
ENST00000216366.9	162	1	s4_r3	s4
ENST00000216373.10	136	3	s4_r3	s4
ENST00000216392.8	53	65	s4_r3	s4
ENST00000216410.8	130	21	s4_r3	s4
ENST00000216416.9	43	235	s4_r3	s4
ENST00000216420.12	42	16	s4_r3	s4
ENST00000216442.12	48	119	s4_r3	s4
ENST00000216446.9	40	10	s4_r3	s4
ENST00000216452.9	74	15	s4_r3	s4
ENST00000216455.9	115	120	s4_r3	s4
ENST00000216456.6	223	1	s4_r3	s4
ENST00000216463.8	73	3	s4_r3	s4
ENST00000216465.10	44	22	s4_r3	s4
ENST00000216468.8	35	7	s4_r3	s4
ENST00000216479.8	102	88	s4_r3	s4
ENST00000216481.10	34	2	s4_r3	s4
ENST00000216484.7	155	28	s4_r3	s4
ENST00000216487.12	33	2	s4_r3	s4
ENST00000216489.8	73	8	s4_r3	s4
ENST00000216500.9	65	35	s4_r3	s4
ENST00000216513.5	87	8	s4_r3	s4
ENST00000216520.6	124	1	s4_r3	s4
ENST00000216554.8	90	122	s4_r3	s4
ENST00000216602.10	152	1	s4_r3	s4
ENST00000216629.11	52	53	s4_r3	s4
ENST00000216639.8	37	3	s4_r3	s4
ENST00000216714.8	45	73	s4_r3	s4
ENST00000216727.9	58	8	s4_r3	s4
ENST00000216756.11	69	7	s4_r3	s4
ENST00000216774.11	120	26	s4_r3	s4
ENST00000216780.9	28	11	s4_r3	s4
ENST00000216797.10	55	105	s4_r3	s4
ENST00000216799.9	41	2	s4_r3	s4
ENST00000216802.10	43	38	s4_r3	s4
ENST00000216807.12	74	9	s4_r3	s4
ENST00000216832.9	201	5	s4_r3	s4
ENST00000216840.11	30	8	s4_r3	s4
