contig	polya_length	coverage	run	condition
ENST00000216038.6	65	52	s3_r2	s3
ENST00000216039.9	93	11	s3_r2	s3
ENST00000216044.10	35	8	s3_r2	s3
ENST00000216061.9	93	1	s3_r2	s3
ENST00000216068.9	112	14	s3_r2	s3
ENST00000216080.5	70	11	s3_r2	s3
ENST00000216085.12	35	8	s3_r2	s3
ENST00000216106.6	147	1	s3_r2	s3
ENST00000216115.3	33	1	s3_r2	s3
ENST00000216117.9	144	120	s3_r2	s3
ENST00000216121.12	35	20	s3_r2	s3
ENST00000216122.9	58	3	s3_r2	s3
ENST00000216124.10	136	6	s3_r2	s3
ENST00000216127.5	133	2	s3_r2	s3
ENST00000216129.7	102	10	s3_r2	s3
ENST00000216146.9	56	1381	s3_r2	s3
ENST00000216160.11	41	7	s3_r2	s3
ENST00000216181.11	74	121	s3_r2	s3
ENST00000216185.7	79	42	s3_r2	s3
ENST00000216187.10	56	1	s3_r2	s3
ENST00000216190.13	44	91	s3_r2	s3
ENST00000216194.11	123	1	s3_r2	s3
ENST00000216214.7	20	1	s3_r2	s3
ENST00000216218.8	47	144	s3_r2	s3
ENST00000216225.9	51	76	s3_r2	s3
ENST00000216241.14	62	1	s3_r2	s3
ENST00000216252.4	76	37	s3_r2	s3
ENST00000216254.9	103	19	s3_r2	s3
ENST00000216259.8	55	29	s3_r2	s3
ENST00000216264.13	76	30	s3_r2	s3
ENST00000216267.12	117	3	s3_r2	s3
ENST00000216268.6	52	9	s3_r2	s3
ENST00000216271.10	81	1	s3_r2	s3
ENST00000216277.13	29	26	s3_r2	s3
ENST00000216281.13	161	191	s3_r2	s3
ENST00000216286.10	58	4	s3_r2	s3
ENST00000216294.5	44	12	s3_r2	s3
ENST00000216297.7	57	18	s3_r2	s3
ENST00000216330.7	114	15	s3_r2	s3
ENST00000216350.12	106	3	s3_r2	s3
ENST00000216367.10	53	1	s3_r2	s3
ENST00000216373.10	24	4	s3_r2	s3
ENST00000216392.8	72	19	s3_r2	s3
ENST00000216410.8	100	14	s3_r2	s3
ENST00000216416.9	52	133	s3_r2	s3
ENST00000216420.12	103	12	s3_r2	s3
ENST00000216442.12	37	57	s3_r2	s3
ENST00000216446.9	85	4	s3_r2	s3
ENST00000216452.9	120	3	s3_r2	s3
ENST00000216455.9	53	49	s3_r2	s3
ENST00000216463.8	121	1	s3_r2	s3
ENST00000216465.10	63	16	s3_r2	s3
ENST00000216468.8	38	2	s3_r2	s3
ENST00000216479.8	121	35	s3_r2	s3
ENST00000216484.7	171	15	s3_r2	s3
ENST00000216487.12	130	3	s3_r2	s3
ENST00000216489.8	129	5	s3_r2	s3
ENST00000216500.9	81	22	s3_r2	s3
ENST00000216513.5	4	1	s3_r2	s3
ENST00000216554.8	135	93	s3_r2	s3
ENST00000216602.10	62	3	s3_r2	s3
ENST00000216629.11	120	44	s3_r2	s3
ENST00000216639.8	81	1	s3_r2	s3
ENST00000216714.8	52	45	s3_r2	s3
ENST00000216727.9	70	7	s3_r2	s3
ENST00000216756.11	51	10	s3_r2	s3
ENST00000216774.11	108	22	s3_r2	s3
ENST00000216780.9	78	11	s3_r2	s3
ENST00000216797.10	52	24	s3_r2	s3
ENST00000216799.9	86	2	s3_r2	s3
ENST00000216802.10	91	16	s3_r2	s3
ENST00000216807.12	30	3	s3_r2	s3
ENST00000216832.9	165	7	s3_r2	s3
ENST00000216840.11	25	9	s3_r2	s3
ENST00000216877.10	39	16	s3_r2	s3
ENST00000216879.9	49	20	s3_r2	s3
ENST00000216923.5	136	3	s3_r2	s3
ENST00000216962.9	57	27	s3_r2	s3
ENST00000216968.5	47	42	s3_r2	s3
ENST00000217086.9	146	1	s3_r2	s3
ENST00000217109.9	51	11	s3_r2	s3
ENST00000217121.9	87	2	s3_r2	s3
ENST00000217131.6	137	4	s3_r2	s3
ENST00000217173.7	194	1	s3_r2	s3
ENST00000217182.6	55	3	s3_r2	s3
ENST00000217195.12	212	1	s3_r2	s3
ENST00000217233.9	51	59	s3_r2	s3
ENST00000217244.9	118	2	s3_r2	s3
ENST00000217289.9	82	1	s3_r2	s3
ENST00000217315.9	80	6	s3_r2	s3
ENST00000217381.3	57	22	s3_r2	s3
ENST00000217402.3	45	29	s3_r2	s3
ENST00000217426.7	65	54	s3_r2	s3
ENST00000217446.8	51	12	s3_r2	s3
ENST00000217455.9	32	11	s3_r2	s3
ENST00000217456.3	120	92	s3_r2	s3
ENST00000217515.11	97	56	s3_r2	s3
ENST00000217652.8	54	709	s3_r2	s3
ENST00000217890.10	116	2	s3_r2	s3
ENST00000217893.10	79	16	s3_r2	s3
ENST00000217901.10	44	18	s3_r2	s3
ENST00000217909.8	83	2	s3_r2	s3
ENST00000217939.7	82	9	s3_r2	s3
ENST00000217958.8	42	33	s3_r2	s3
ENST00000217961.5	178	1	s3_r2	s3
ENST00000217971.8	45	133	s3_r2	s3
ENST00000217999.3	79	1	s3_r2	s3
ENST00000218006.3	37	1	s3_r2	s3
ENST00000218056.9	92	9	s3_r2	s3
ENST00000218104.6	37	11	s3_r2	s3
ENST00000218197.9	67	1	s3_r2	s3
ENST00000218230.6	108	3	s3_r2	s3
ENST00000218340.4	14	4	s3_r2	s3
ENST00000218348.7	120	7	s3_r2	s3
ENST00000218364.5	67	6	s3_r2	s3
ENST00000218388.9	136	3861	s3_r2	s3
ENST00000218516.4	76	17	s3_r2	s3
ENST00000218652.11	117	20	s3_r2	s3
ENST00000218758.9	65	1	s3_r2	s3
ENST00000218789.9	76	2	s3_r2	s3
ENST00000218981.5	95	1	s3_r2	s3
ENST00000219066.5	122	5	s3_r2	s3
ENST00000219069.6	104	19	s3_r2	s3
ENST00000219070.9	168	1081	s3_r2	s3
ENST00000219091.9	38	1	s3_r2	s3
ENST00000219139.8	50	4	s3_r2	s3
ENST00000219168.8	42	2	s3_r2	s3
ENST00000219169.9	77	25	s3_r2	s3
ENST00000219204.8	60	48	s3_r2	s3
ENST00000219240.9	118	2	s3_r2	s3
ENST00000219251.13	57	2	s3_r2	s3
ENST00000219252.10	116	66	s3_r2	s3
ENST00000219255.3	72	1	s3_r2	s3
ENST00000219271.4	179	3	s3_r2	s3
ENST00000219281.8	109	4	s3_r2	s3
ENST00000219299.8	21	1	s3_r2	s3
ENST00000219302.8	54	15	s3_r2	s3
ENST00000219313.9	32	66	s3_r2	s3
ENST00000219315.9	162	3	s3_r2	s3
ENST00000219320.9	47	2	s3_r2	s3
ENST00000219343.11	102	2	s3_r2	s3
ENST00000219345.10	114	12	s3_r2	s3
ENST00000219400.8	135	15	s3_r2	s3
ENST00000219409.8	157	1	s3_r2	s3
ENST00000219431.4	145	4	s3_r2	s3
ENST00000219439.9	110	3	s3_r2	s3
ENST00000219473.12	69	21	s3_r2	s3
ENST00000219476.9	49	1	s3_r2	s3
ENST00000219478.11	68	3	s3_r2	s3
ENST00000219479.7	90	46	s3_r2	s3
ENST00000219481.10	102	1	s3_r2	s3
ENST00000219535.7	48	1	s3_r2	s3
ENST00000219542.3	105	3	s3_r2	s3
ENST00000219548.9	46	75	s3_r2	s3
ENST00000219611.7	156	7	s3_r2	s3
ENST00000219689.12	183	3	s3_r2	s3
