contig	polya_length	coverage	run	condition
ENST00000198939.6	93	4	s1_r1	s1
ENST00000199320.9	171	32	s1_r1	s1
ENST00000199389.11	35	58	s1_r1	s1
ENST00000199448.9	92	59	s1_r1	s1
ENST00000199706.13	57	38	s1_r1	s1
ENST00000199814.9	138	25	s1_r1	s1
ENST00000199940.10	49	1	s1_r1	s1
ENST00000200135.8	32	11	s1_r1	s1
ENST00000200453.6	80	85	s1_r1	s1
ENST00000200457.9	91	57	s1_r1	s1
ENST00000200639.9	116	56	s1_r1	s1
ENST00000200652.4	37	9	s1_r1	s1
ENST00000200691.5	67	16	s1_r1	s1
ENST00000201015.8	68	2	s1_r1	s1
ENST00000202017.6	192	10	s1_r1	s1
ENST00000202028.9	76	1	s1_r1	s1
ENST00000202556.14	61	1	s1_r1	s1
ENST00000202773.14	57	1627	s1_r1	s1
ENST00000202816.5	44	9	s1_r1	s1
ENST00000202831.7	102	2	s1_r1	s1
ENST00000202834.11	60	102	s1_r1	s1
ENST00000203001.7	99	10	s1_r1	s1
ENST00000203166.10	200	1	s1_r1	s1
ENST00000203407.6	47	87	s1_r1	s1
ENST00000203556.9	57	6	s1_r1	s1
ENST00000203630.10	52	171	s1_r1	s1
ENST00000203664.10	38	2	s1_r1	s1
ENST00000204005.13	176	5	s1_r1	s1
ENST00000204517.11	89	4	s1_r1	s1
ENST00000204549.9	161	3	s1_r1	s1
ENST00000204566.7	109	33	s1_r1	s1
ENST00000204679.9	124	87	s1_r1	s1
ENST00000204726.8	103	25	s1_r1	s1
ENST00000204961.5	168	15	s1_r1	s1
ENST00000205061.9	174	25	s1_r1	s1
ENST00000205135.8	14	2	s1_r1	s1
ENST00000205143.4	60	1	s1_r1	s1
ENST00000205194.5	69	26	s1_r1	s1
ENST00000205402.10	78	27	s1_r1	s1
ENST00000205636.4	115	83	s1_r1	s1
ENST00000206020.8	104	44	s1_r1	s1
ENST00000206262.2	78	3	s1_r1	s1
ENST00000206380.8	76	17	s1_r1	s1
ENST00000206423.8	122	201	s1_r1	s1
ENST00000206451.11	99	36	s1_r1	s1
ENST00000206474.11	115	1	s1_r1	s1
ENST00000206542.9	50	18	s1_r1	s1
ENST00000206595.11	193	7	s1_r1	s1
ENST00000206765.11	43	1	s1_r1	s1
ENST00000207636.9	154	1	s1_r1	s1
ENST00000207870.8	115	2	s1_r1	s1
ENST00000209728.9	18	2	s1_r1	s1
ENST00000209873.9	73	6	s1_r1	s1
ENST00000209875.9	61	28	s1_r1	s1
ENST00000209884.5	176	3	s1_r1	s1
ENST00000210060.12	89	51	s1_r1	s1
ENST00000210313.8	117	26	s1_r1	s1
ENST00000210444.6	51	87	s1_r1	s1
ENST00000211314.5	158	18	s1_r1	s1
ENST00000211372.9	46	541	s1_r1	s1
ENST00000211379.9	52	10	s1_r1	s1
ENST00000211402.10	73	4	s1_r1	s1
ENST00000211998.10	210	9	s1_r1	s1
ENST00000212015.11	54	2	s1_r1	s1
ENST00000214869.7	127	73	s1_r1	s1
ENST00000214893.9	131	3	s1_r1	s1
ENST00000215057.7	98	3	s1_r1	s1
ENST00000215061.9	66	6	s1_r1	s1
ENST00000215071.9	57	109	s1_r1	s1
ENST00000215115.5	54	70	s1_r1	s1
ENST00000215375.7	68	14	s1_r1	s1
ENST00000215555.7	85	5	s1_r1	s1
ENST00000215565.3	52	91	s1_r1	s1
ENST00000215567.10	47	48	s1_r1	s1
ENST00000215570.8	73	85	s1_r1	s1
ENST00000215574.9	50	35	s1_r1	s1
ENST00000215587.11	67	2	s1_r1	s1
ENST00000215631.9	160	11	s1_r1	s1
ENST00000215659.13	95	4	s1_r1	s1
ENST00000215727.10	48	2	s1_r1	s1
ENST00000215730.12	38	15	s1_r1	s1
ENST00000215742.9	123	3	s1_r1	s1
ENST00000215754.8	62	183	s1_r1	s1
ENST00000215770.6	140	1	s1_r1	s1
ENST00000215790.12	40	24	s1_r1	s1
ENST00000215793.13	139	18	s1_r1	s1
ENST00000215798.10	72	1	s1_r1	s1
ENST00000215829.8	74	65	s1_r1	s1
ENST00000215832.11	46	60	s1_r1	s1
ENST00000215882.10	53	93	s1_r1	s1
ENST00000215904.7	124	22	s1_r1	s1
ENST00000215906.6	65	3	s1_r1	s1
ENST00000215909.10	53	3280	s1_r1	s1
ENST00000215912.10	66	8	s1_r1	s1
ENST00000215917.11	106	13	s1_r1	s1
ENST00000215919.3	93	6	s1_r1	s1
ENST00000215941.9	67	13	s1_r1	s1
ENST00000215956.10	96	10	s1_r1	s1
ENST00000215957.10	174	11	s1_r1	s1
ENST00000216014.9	50	209	s1_r1	s1
ENST00000216019.11	95	2	s1_r1	s1
ENST00000216027.8	56	8	s1_r1	s1
ENST00000216029.7	77	15	s1_r1	s1
ENST00000216034.6	133	55	s1_r1	s1
ENST00000216037.10	41	198	s1_r1	s1
ENST00000216038.6	41	52	s1_r1	s1
ENST00000216039.9	180	10	s1_r1	s1
ENST00000216044.10	32	16	s1_r1	s1
ENST00000216068.9	47	16	s1_r1	s1
ENST00000216080.5	110	18	s1_r1	s1
ENST00000216085.12	52	14	s1_r1	s1
ENST00000216106.6	92	9	s1_r1	s1
ENST00000216115.3	186	1	s1_r1	s1
ENST00000216117.9	130	336	s1_r1	s1
ENST00000216121.12	66	24	s1_r1	s1
ENST00000216122.9	69	2	s1_r1	s1
ENST00000216124.10	133	34	s1_r1	s1
ENST00000216127.5	98	1	s1_r1	s1
ENST00000216129.7	83	18	s1_r1	s1
ENST00000216133.10	140	3	s1_r1	s1
ENST00000216146.9	62	1017	s1_r1	s1
ENST00000216160.11	168	6	s1_r1	s1
ENST00000216181.11	63	198	s1_r1	s1
ENST00000216185.7	74	44	s1_r1	s1
ENST00000216190.13	40	125	s1_r1	s1
ENST00000216214.7	58	1	s1_r1	s1
ENST00000216218.8	49	186	s1_r1	s1
ENST00000216225.9	95	120	s1_r1	s1
ENST00000216237.10	95	6	s1_r1	s1
ENST00000216241.14	27	1	s1_r1	s1
ENST00000216252.4	151	50	s1_r1	s1
ENST00000216254.9	48	28	s1_r1	s1
ENST00000216259.8	58	48	s1_r1	s1
ENST00000216264.13	77	76	s1_r1	s1
ENST00000216267.12	21	3	s1_r1	s1
ENST00000216268.6	159	10	s1_r1	s1
ENST00000216271.10	49	2	s1_r1	s1
ENST00000216277.13	38	52	s1_r1	s1
ENST00000216281.13	140	459	s1_r1	s1
ENST00000216286.10	186	5	s1_r1	s1
ENST00000216288.11	44	3	s1_r1	s1
ENST00000216294.5	33	22	s1_r1	s1
ENST00000216297.7	69	27	s1_r1	s1
ENST00000216330.7	48	19	s1_r1	s1
ENST00000216350.12	89	3	s1_r1	s1
ENST00000216373.10	176	3	s1_r1	s1
ENST00000216392.8	46	28	s1_r1	s1
ENST00000216410.8	106	39	s1_r1	s1
ENST00000216416.9	60	210	s1_r1	s1
ENST00000216420.12	46	10	s1_r1	s1
ENST00000216442.12	129	67	s1_r1	s1
ENST00000216446.9	27	21	s1_r1	s1
ENST00000216452.9	114	9	s1_r1	s1
ENST00000216455.9	46	93	s1_r1	s1
ENST00000216463.8	18	1	s1_r1	s1
ENST00000216465.10	46	10	s1_r1	s1
ENST00000216468.8	97	11	s1_r1	s1
ENST00000216479.8	90	64	s1_r1	s1
ENST00000216484.7	119	27	s1_r1	s1
ENST00000216487.12	39	6	s1_r1	s1
ENST00000216489.8	120	3	s1_r1	s1
ENST00000216500.9	108	26	s1_r1	s1
ENST00000216513.5	100	7	s1_r1	s1
ENST00000216554.8	112	104	s1_r1	s1
ENST00000216602.10	123	1	s1_r1	s1
ENST00000216629.11	77	31	s1_r1	s1
ENST00000216639.8	42	1	s1_r1	s1
ENST00000216714.8	44	83	s1_r1	s1
ENST00000216727.9	140	30	s1_r1	s1
ENST00000216756.11	98	5	s1_r1	s1
ENST00000216774.11	122	28	s1_r1	s1
ENST00000216780.9	59	22	s1_r1	s1
ENST00000216797.10	34	50	s1_r1	s1
ENST00000216799.9	67	1	s1_r1	s1
ENST00000216802.10	72	42	s1_r1	s1
ENST00000216807.12	116	8	s1_r1	s1
ENST00000216832.9	19	7	s1_r1	s1
ENST00000216840.11	101	12	s1_r1	s1
ENST00000216862.8	109	1	s1_r1	s1
ENST00000216877.10	133	19	s1_r1	s1
ENST00000216879.9	75	30	s1_r1	s1
ENST00000216923.5	89	2	s1_r1	s1
ENST00000216962.9	56	50	s1_r1	s1
ENST00000216968.5	121	57	s1_r1	s1
ENST00000217109.9	135	17	s1_r1	s1
ENST00000217121.9	58	4	s1_r1	s1
ENST00000217131.6	170	13	s1_r1	s1
ENST00000217173.7	69	2	s1_r1	s1
ENST00000217182.6	76	12	s1_r1	s1
ENST00000217233.9	50	58	s1_r1	s1
ENST00000217244.9	140	9	s1_r1	s1
ENST00000217289.9	30	5	s1_r1	s1
ENST00000217315.9	96	12	s1_r1	s1
ENST00000217381.3	56	29	s1_r1	s1
ENST00000217402.3	31	34	s1_r1	s1
ENST00000217426.7	72	80	s1_r1	s1
ENST00000217446.8	70	26	s1_r1	s1
ENST00000217455.9	95	13	s1_r1	s1
ENST00000217456.3	133	98	s1_r1	s1
ENST00000217515.11	33	89	s1_r1	s1
ENST00000217652.8	57	894	s1_r1	s1
ENST00000217890.10	77	2	s1_r1	s1
ENST00000217893.10	138	21	s1_r1	s1
ENST00000217901.10	34	34	s1_r1	s1
ENST00000217909.8	95	7	s1_r1	s1
ENST00000217939.7	123	4	s1_r1	s1
ENST00000217958.8	104	50	s1_r1	s1
ENST00000217961.5	232	2	s1_r1	s1
ENST00000217971.8	48	242	s1_r1	s1
ENST00000218056.9	53	9	s1_r1	s1
ENST00000218104.6	39	10	s1_r1	s1
ENST00000218230.6	81	1	s1_r1	s1
ENST00000218340.4	100	11	s1_r1	s1
ENST00000218348.7	111	7	s1_r1	s1
ENST00000218364.5	105	2	s1_r1	s1
ENST00000218388.9	134	4217	s1_r1	s1
ENST00000218516.4	121	17	s1_r1	s1
ENST00000218652.11	97	32	s1_r1	s1
ENST00000218867.4	227	1	s1_r1	s1
ENST00000219066.5	103	8	s1_r1	s1
ENST00000219069.6	68	21	s1_r1	s1
ENST00000219070.9	173	1499	s1_r1	s1
ENST00000219091.9	54	2	s1_r1	s1
ENST00000219097.7	139	4	s1_r1	s1
ENST00000219139.8	164	9	s1_r1	s1
ENST00000219150.10	52	1	s1_r1	s1
ENST00000219168.8	45	2	s1_r1	s1
ENST00000219169.9	53	56	s1_r1	s1
ENST00000219204.8	57	62	s1_r1	s1
ENST00000219240.9	65	2	s1_r1	s1
ENST00000219252.10	69	77	s1_r1	s1
ENST00000219271.4	108	2	s1_r1	s1
ENST00000219281.8	58	5	s1_r1	s1
ENST00000219299.8	56	3	s1_r1	s1
ENST00000219302.8	78	35	s1_r1	s1
ENST00000219313.9	43	67	s1_r1	s1
ENST00000219315.9	134	3	s1_r1	s1
ENST00000219320.9	167	7	s1_r1	s1
ENST00000219343.11	220	5	s1_r1	s1
ENST00000219345.10	136	54	s1_r1	s1
