contig	polya_length	coverage	run	condition
ENST00000206474.11	30	2	s1_r3	s1
ENST00000206542.9	63	16	s1_r3	s1
ENST00000206595.11	91	7	s1_r3	s1
ENST00000207870.8	190	1	s1_r3	s1
ENST00000209873.9	22	5	s1_r3	s1
ENST00000209875.9	145	15	s1_r3	s1
ENST00000209884.5	115	1	s1_r3	s1
ENST00000210060.12	40	40	s1_r3	s1
ENST00000210313.8	68	19	s1_r3	s1
ENST00000210444.6	47	89	s1_r3	s1
ENST00000211287.9	24	1	s1_r3	s1
ENST00000211314.5	124	23	s1_r3	s1
ENST00000211372.9	42	531	s1_r3	s1
ENST00000211379.9	47	13	s1_r3	s1
ENST00000211402.10	55	9	s1_r3	s1
ENST00000211936.10	11	2	s1_r3	s1
ENST00000211998.10	171	7	s1_r3	s1
ENST00000212015.11	57	3	s1_r3	s1
ENST00000214869.7	113	68	s1_r3	s1
ENST00000214893.9	171	3	s1_r3	s1
ENST00000215057.7	127	3	s1_r3	s1
ENST00000215061.9	63	3	s1_r3	s1
ENST00000215071.9	59	127	s1_r3	s1
ENST00000215095.11	29	1	s1_r3	s1
ENST00000215115.5	48	74	s1_r3	s1
ENST00000215375.7	46	32	s1_r3	s1
ENST00000215555.7	52	12	s1_r3	s1
ENST00000215565.3	50	121	s1_r3	s1
ENST00000215567.10	49	49	s1_r3	s1
ENST00000215570.8	53	84	s1_r3	s1
ENST00000215574.9	46	34	s1_r3	s1
ENST00000215587.11	101	3	s1_r3	s1
ENST00000215631.9	152	14	s1_r3	s1
ENST00000215659.13	36	10	s1_r3	s1
ENST00000215727.10	30	1	s1_r3	s1
ENST00000215730.12	58	12	s1_r3	s1
ENST00000215742.9	173	1	s1_r3	s1
ENST00000215754.8	55	347	s1_r3	s1
ENST00000215790.12	24	26	s1_r3	s1
ENST00000215793.13	29	18	s1_r3	s1
ENST00000215829.8	70	69	s1_r3	s1
ENST00000215832.11	72	51	s1_r3	s1
ENST00000215838.8	77	2	s1_r3	s1
ENST00000215862.8	23	2	s1_r3	s1
ENST00000215882.10	66	91	s1_r3	s1
ENST00000215904.7	45	35	s1_r3	s1
ENST00000215906.6	70	5	s1_r3	s1
ENST00000215909.10	53	3513	s1_r3	s1
ENST00000215912.10	137	4	s1_r3	s1
ENST00000215917.11	109	12	s1_r3	s1
ENST00000215919.3	34	4	s1_r3	s1
ENST00000215941.9	49	12	s1_r3	s1
ENST00000215956.10	71	8	s1_r3	s1
ENST00000215957.10	80	20	s1_r3	s1
ENST00000216014.9	53	228	s1_r3	s1
ENST00000216019.11	204	1	s1_r3	s1
ENST00000216027.8	71	7	s1_r3	s1
ENST00000216029.7	126	22	s1_r3	s1
ENST00000216034.6	75	61	s1_r3	s1
ENST00000216037.10	46	177	s1_r3	s1
ENST00000216038.6	54	60	s1_r3	s1
ENST00000216039.9	93	5	s1_r3	s1
ENST00000216044.10	50	4	s1_r3	s1
ENST00000216068.9	39	20	s1_r3	s1
ENST00000216080.5	137	23	s1_r3	s1
ENST00000216085.12	84	14	s1_r3	s1
ENST00000216106.6	117	8	s1_r3	s1
ENST00000216115.3	136	2	s1_r3	s1
ENST00000216117.9	101	334	s1_r3	s1
ENST00000216121.12	75	30	s1_r3	s1
ENST00000216122.9	145	1	s1_r3	s1
ENST00000216124.10	122	8	s1_r3	s1
ENST00000216127.5	129	12	s1_r3	s1
ENST00000216129.7	112	9	s1_r3	s1
ENST00000216133.10	48	2	s1_r3	s1
ENST00000216144.4	38	1	s1_r3	s1
ENST00000216146.9	56	1481	s1_r3	s1
ENST00000216160.11	88	12	s1_r3	s1
ENST00000216181.11	80	197	s1_r3	s1
ENST00000216185.7	56	41	s1_r3	s1
ENST00000216190.13	42	150	s1_r3	s1
ENST00000216214.7	199	1	s1_r3	s1
ENST00000216218.8	58	143	s1_r3	s1
ENST00000216225.9	93	123	s1_r3	s1
ENST00000216237.10	87	5	s1_r3	s1
ENST00000216241.14	89	1	s1_r3	s1
ENST00000216252.4	88	55	s1_r3	s1
ENST00000216254.9	52	26	s1_r3	s1
ENST00000216259.8	54	46	s1_r3	s1
ENST00000216264.13	69	52	s1_r3	s1
ENST00000216267.12	133	6	s1_r3	s1
ENST00000216268.6	125	8	s1_r3	s1
ENST00000216271.10	216	1	s1_r3	s1
ENST00000216277.13	47	42	s1_r3	s1
ENST00000216281.13	56	444	s1_r3	s1
ENST00000216286.10	176	6	s1_r3	s1
ENST00000216294.5	68	17	s1_r3	s1
ENST00000216297.7	100	20	s1_r3	s1
ENST00000216330.7	41	25	s1_r3	s1
ENST00000216373.10	70	2	s1_r3	s1
ENST00000216392.8	101	24	s1_r3	s1
ENST00000216410.8	117	14	s1_r3	s1
ENST00000216416.9	52	199	s1_r3	s1
ENST00000216420.12	64	9	s1_r3	s1
ENST00000216442.12	47	95	s1_r3	s1
ENST00000216446.9	56	25	s1_r3	s1
ENST00000216452.9	170	13	s1_r3	s1
ENST00000216455.9	58	89	s1_r3	s1
ENST00000216456.6	52	2	s1_r3	s1
ENST00000216463.8	28	2	s1_r3	s1
ENST00000216465.10	75	8	s1_r3	s1
