contig	polya_length	coverage	run	condition
ENST00000216259.8	73	50	s2_r1	s2
ENST00000216264.13	78	94	s2_r1	s2
ENST00000216268.6	38	12	s2_r1	s2
ENST00000216271.10	49	8	s2_r1	s2
ENST00000216277.13	51	51	s2_r1	s2
ENST00000216281.13	99	456	s2_r1	s2
ENST00000216286.10	128	7	s2_r1	s2
ENST00000216288.11	17	2	s2_r1	s2
ENST00000216294.5	112	20	s2_r1	s2
ENST00000216297.7	91	32	s2_r1	s2
ENST00000216330.7	94	15	s2_r1	s2
ENST00000216350.12	47	5	s2_r1	s2
ENST00000216373.10	85	2	s2_r1	s2
ENST00000216392.8	39	22	s2_r1	s2
ENST00000216410.8	61	28	s2_r1	s2
ENST00000216416.9	50	272	s2_r1	s2
ENST00000216420.12	162	8	s2_r1	s2
ENST00000216442.12	42	83	s2_r1	s2
ENST00000216446.9	60	19	s2_r1	s2
ENST00000216452.9	48	6	s2_r1	s2
ENST00000216455.9	114	89	s2_r1	s2
ENST00000216463.8	41	2	s2_r1	s2
ENST00000216465.10	51	19	s2_r1	s2
ENST00000216468.8	32	5	s2_r1	s2
ENST00000216479.8	133	78	s2_r1	s2
ENST00000216484.7	154	13	s2_r1	s2
ENST00000216487.12	54	13	s2_r1	s2
ENST00000216489.8	93	8	s2_r1	s2
ENST00000216500.9	65	29	s2_r1	s2
ENST00000216513.5	165	4	s2_r1	s2
ENST00000216554.8	125	78	s2_r1	s2
ENST00000216602.10	40	2	s2_r1	s2
ENST00000216629.11	46	24	s2_r1	s2
ENST00000216714.8	49	61	s2_r1	s2
ENST00000216727.9	82	31	s2_r1	s2
ENST00000216756.11	95	8	s2_r1	s2
ENST00000216774.11	56	15	s2_r1	s2
ENST00000216780.9	60	23	s2_r1	s2
ENST00000216797.10	71	81	s2_r1	s2
ENST00000216799.9	39	5	s2_r1	s2
ENST00000216802.10	76	39	s2_r1	s2
ENST00000216807.12	88	5	s2_r1	s2
ENST00000216832.9	119	9	s2_r1	s2
ENST00000216840.11	35	4	s2_r1	s2
ENST00000216862.8	230	1	s2_r1	s2
ENST00000216877.10	53	12	s2_r1	s2
ENST00000216879.9	69	25	s2_r1	s2
ENST00000216962.9	110	48	s2_r1	s2
ENST00000216968.5	127	57	s2_r1	s2
ENST00000217109.9	166	10	s2_r1	s2
ENST00000217121.9	153	6	s2_r1	s2
ENST00000217131.6	113	5	s2_r1	s2
ENST00000217173.7	34	3	s2_r1	s2
ENST00000217182.6	70	9	s2_r1	s2
ENST00000217195.12	90	2	s2_r1	s2
ENST00000217233.9	43	62	s2_r1	s2
ENST00000217244.9	89	6	s2_r1	s2
ENST00000217289.9	81	8	s2_r1	s2
ENST00000217315.9	176	7	s2_r1	s2
ENST00000217381.3	71	22	s2_r1	s2
ENST00000217402.3	123	23	s2_r1	s2
ENST00000217426.7	72	89	s2_r1	s2
ENST00000217446.8	131	20	s2_r1	s2
ENST00000217455.9	103	8	s2_r1	s2
ENST00000217456.3	139	111	s2_r1	s2
ENST00000217515.11	51	71	s2_r1	s2
