contig	polya_length	coverage	run	condition
ENST00000216410.8	77	19	s2_r3	s2
ENST00000216416.9	52	195	s2_r3	s2
ENST00000216420.12	53	13	s2_r3	s2
ENST00000216442.12	46	82	s2_r3	s2
ENST00000216446.9	60	27	s2_r3	s2
ENST00000216452.9	57	13	s2_r3	s2
ENST00000216455.9	33	92	s2_r3	s2
ENST00000216456.6	246	1	s2_r3	s2
ENST00000216463.8	28	1	s2_r3	s2
ENST00000216465.10	68	16	s2_r3	s2
ENST00000216468.8	131	9	s2_r3	s2
ENST00000216479.8	66	68	s2_r3	s2
ENST00000216484.7	92	21	s2_r3	s2
ENST00000216487.12	90	1	s2_r3	s2
ENST00000216489.8	141	5	s2_r3	s2
ENST00000216500.9	82	28	s2_r3	s2
ENST00000216513.5	14	3	s2_r3	s2
ENST00000216520.6	167	1	s2_r3	s2
ENST00000216554.8	126	80	s2_r3	s2
ENST00000216629.11	41	14	s2_r3	s2
ENST00000216714.8	29	58	s2_r3	s2
ENST00000216727.9	69	2	s2_r3	s2
ENST00000216756.11	54	15	s2_r3	s2
ENST00000216774.11	58	19	s2_r3	s2
ENST00000216780.9	45	17	s2_r3	s2
ENST00000216797.10	52	53	s2_r3	s2
ENST00000216799.9	63	2	s2_r3	s2
ENST00000216802.10	49	32	s2_r3	s2
ENST00000216807.12	131	6	s2_r3	s2
ENST00000216832.9	67	7	s2_r3	s2
ENST00000216840.11	49	9	s2_r3	s2
ENST00000216877.10	79	22	s2_r3	s2
ENST00000216879.9	59	22	s2_r3	s2
ENST00000216962.9	77	15	s2_r3	s2
ENST00000216968.5	84	59	s2_r3	s2
ENST00000217109.9	29	11	s2_r3	s2
ENST00000217121.9	49	4	s2_r3	s2
ENST00000217131.6	93	6	s2_r3	s2
ENST00000217162.5	148	1	s2_r3	s2
ENST00000217173.7	42	3	s2_r3	s2
ENST00000217182.6	41	2	s2_r3	s2
ENST00000217195.12	38	1	s2_r3	s2
ENST00000217233.9	54	61	s2_r3	s2
ENST00000217244.9	56	11	s2_r3	s2
ENST00000217289.9	95	8	s2_r3	s2
ENST00000217315.9	79	4	s2_r3	s2
ENST00000217381.3	68	26	s2_r3	s2
ENST00000217402.3	117	24	s2_r3	s2
ENST00000217426.7	74	70	s2_r3	s2
ENST00000217446.8	66	15	s2_r3	s2
ENST00000217455.9	69	11	s2_r3	s2
ENST00000217456.3	148	80	s2_r3	s2
ENST00000217515.11	42	83	s2_r3	s2
ENST00000217652.8	52	1043	s2_r3	s2
ENST00000217890.10	61	1	s2_r3	s2
ENST00000217893.10	42	24	s2_r3	s2
ENST00000217901.10	114	28	s2_r3	s2
ENST00000217909.8	96	3	s2_r3	s2
ENST00000217939.7	128	3	s2_r3	s2
ENST00000217958.8	85	61	s2_r3	s2
ENST00000217961.5	69	5	s2_r3	s2
ENST00000217971.8	61	249	s2_r3	s2
ENST00000218004.5	35	2	s2_r3	s2
ENST00000218056.9	70	12	s2_r3	s2
ENST00000218104.6	60	2	s2_r3	s2
ENST00000218200.12	77	1	s2_r3	s2
ENST00000218224.8	82	1	s2_r3	s2
ENST00000218230.6	154	2	s2_r3	s2
ENST00000218340.4	38	2	s2_r3	s2
ENST00000218348.7	37	9	s2_r3	s2
ENST00000218364.5	175	6	s2_r3	s2
ENST00000218388.9	134	4133	s2_r3	s2
ENST00000218516.4	47	17	s2_r3	s2
ENST00000218652.11	67	24	s2_r3	s2
ENST00000218789.9	60	1	s2_r3	s2
ENST00000219022.3	144	1	s2_r3	s2
ENST00000219066.5	53	5	s2_r3	s2
ENST00000219069.6	66	13	s2_r3	s2
ENST00000219070.9	174	1015	s2_r3	s2
ENST00000219084.10	187	1	s2_r3	s2
ENST00000219097.7	251	1	s2_r3	s2
ENST00000219139.8	64	6	s2_r3	s2
ENST00000219150.10	41	2	s2_r3	s2
ENST00000219168.8	64	1	s2_r3	s2
ENST00000219169.9	44	54	s2_r3	s2
ENST00000219204.8	38	49	s2_r3	s2
ENST00000219251.13	51	2	s2_r3	s2
ENST00000219252.10	52	74	s2_r3	s2
ENST00000219255.3	35	1	s2_r3	s2
ENST00000219281.8	114	3	s2_r3	s2
ENST00000219299.8	105	1	s2_r3	s2
ENST00000219302.8	107	34	s2_r3	s2
ENST00000219313.9	54	77	s2_r3	s2
ENST00000219315.9	6	2	s2_r3	s2
ENST00000219320.9	76	3	s2_r3	s2
ENST00000219343.11	168	8	s2_r3	s2
ENST00000219345.10	147	30	s2_r3	s2
ENST00000219400.8	111	20	s2_r3	s2
ENST00000219409.8	112	1	s2_r3	s2
ENST00000219431.4	51	5	s2_r3	s2
ENST00000219439.9	56	12	s2_r3	s2
ENST00000219473.12	42	32	s2_r3	s2
ENST00000219476.9	99	1	s2_r3	s2
ENST00000219478.11	45	1	s2_r3	s2
ENST00000219479.7	59	77	s2_r3	s2
ENST00000219535.7	102	3	s2_r3	s2
ENST00000219542.3	47	5	s2_r3	s2
ENST00000219548.9	56	95	s2_r3	s2
ENST00000219551.2	155	1	s2_r3	s2
ENST00000219611.7	280	3	s2_r3	s2
ENST00000219782.10	82	6	s2_r3	s2
ENST00000219789.11	55	52	s2_r3	s2
ENST00000219794.11	36	30	s2_r3	s2
ENST00000219837.12	129	2	s2_r3	s2
ENST00000219905.12	230	1	s2_r3	s2
ENST00000220003.14	107	7	s2_r3	s2
ENST00000220058.9	55	5	s2_r3	s2
ENST00000220166.10	157	4	s2_r3	s2
ENST00000220244.7	165	15	s2_r3	s2
ENST00000220325.9	112	24	s2_r3	s2
ENST00000220496.9	34	2	s2_r3	s2
ENST00000220509.10	91	9	s2_r3	s2
ENST00000220531.9	128	19	s2_r3	s2
ENST00000220562.9	59	1	s2_r3	s2
ENST00000220584.9	63	9	s2_r3	s2
ENST00000220592.10	61	1	s2_r3	s2
ENST00000220597.4	136	1	s2_r3	s2
ENST00000220659.11	83	14	s2_r3	s2
ENST00000220669.10	76	20	s2_r3	s2
ENST00000220751.5	102	21	s2_r3	s2
ENST00000220763.10	151	20	s2_r3	s2
ENST00000220764.7	51	38	s2_r3	s2
ENST00000220772.8	111	62	s2_r3	s2
ENST00000220809.9	42	87	s2_r3	s2
ENST00000220822.12	60	1	s2_r3	s2
ENST00000220849.10	43	117	s2_r3	s2
ENST00000220853.8	82	35	s2_r3	s2
ENST00000220876.12	82	1	s2_r3	s2
ENST00000220913.10	65	4	s2_r3	s2
ENST00000220959.8	18	1	s2_r3	s2
ENST00000220966.10	123	5	s2_r3	s2
ENST00000221086.8	122	9	s2_r3	s2
ENST00000221114.8	86	27	s2_r3	s2
ENST00000221130.11	71	8	s2_r3	s2
ENST00000221132.8	103	2	s2_r3	s2
ENST00000221138.9	53	81	s2_r3	s2
ENST00000221200.9	75	25	s2_r3	s2
ENST00000221233.9	72	10	s2_r3	s2
ENST00000221249.10	80	7	s2_r3	s2
