contig	polya_length	coverage	run	condition
ENST00000205636.4	76	70	s3_r3	s3
ENST00000206020.8	38	44	s3_r3	s3
ENST00000206262.2	90	1	s3_r3	s3
ENST00000206380.8	22	13	s3_r3	s3
ENST00000206423.8	149	301	s3_r3	s3
ENST00000206451.11	52	27	s3_r3	s3
ENST00000206474.11	27	3	s3_r3	s3
ENST00000206542.9	42	11	s3_r3	s3
ENST00000206544.8	36	2	s3_r3	s3
ENST00000206595.11	56	2	s3_r3	s3
ENST00000207157.7	84	2	s3_r3	s3
ENST00000207636.9	155	1	s3_r3	s3
ENST00000209728.9	87	1	s3_r3	s3
ENST00000209873.9	116	7	s3_r3	s3
ENST00000209875.9	73	10	s3_r3	s3
ENST00000209884.5	95	5	s3_r3	s3
ENST00000210060.12	68	27	s3_r3	s3
ENST00000210313.8	32	13	s3_r3	s3
ENST00000210444.6	45	93	s3_r3	s3
ENST00000210633.3	38	1	s3_r3	s3
ENST00000211287.9	51	1	s3_r3	s3
ENST00000211314.5	142	30	s3_r3	s3
ENST00000211379.9	27	2	s3_r3	s3
ENST00000211402.10	52	1	s3_r3	s3
ENST00000211936.10	128	1	s3_r3	s3
ENST00000211998.10	81	12	s3_r3	s3
ENST00000212015.11	80	1	s3_r3	s3
ENST00000214869.7	38	38	s3_r3	s3
ENST00000214893.9	109	2	s3_r3	s3
ENST00000215061.9	84	2	s3_r3	s3
ENST00000215071.9	48	126	s3_r3	s3
ENST00000215115.5	47	41	s3_r3	s3
ENST00000215375.7	54	20	s3_r3	s3
ENST00000215555.7	102	22	s3_r3	s3
ENST00000215565.3	53	148	s3_r3	s3
ENST00000215567.10	58	33	s3_r3	s3
ENST00000215570.8	71	78	s3_r3	s3
ENST00000215574.9	44	5	s3_r3	s3
ENST00000215587.11	66	2	s3_r3	s3
ENST00000215631.9	34	29	s3_r3	s3
ENST00000215659.13	43	12	s3_r3	s3
ENST00000215727.10	63	2	s3_r3	s3
ENST00000215730.12	26	19	s3_r3	s3
ENST00000215742.9	66	4	s3_r3	s3
ENST00000215754.8	57	244	s3_r3	s3
ENST00000215790.12	119	19	s3_r3	s3
ENST00000215793.13	47	13	s3_r3	s3
ENST00000215829.8	108	67	s3_r3	s3
ENST00000215832.11	117	32	s3_r3	s3
ENST00000215838.8	163	4	s3_r3	s3
ENST00000215882.10	66	54	s3_r3	s3
ENST00000215904.7	96	17	s3_r3	s3
ENST00000215906.6	124	1	s3_r3	s3
ENST00000215909.10	56	3324	s3_r3	s3
ENST00000215912.10	159	21	s3_r3	s3
ENST00000215917.11	108	12	s3_r3	s3
ENST00000215919.3	36	2	s3_r3	s3
ENST00000215941.9	107	3	s3_r3	s3
ENST00000215956.10	32	8	s3_r3	s3
ENST00000215957.10	152	2	s3_r3	s3
ENST00000216014.9	52	203	s3_r3	s3
ENST00000216019.11	107	1	s3_r3	s3
ENST00000216027.8	44	10	s3_r3	s3
ENST00000216029.7	57	15	s3_r3	s3
ENST00000216034.6	70	65	s3_r3	s3
ENST00000216037.10	48	234	s3_r3	s3
ENST00000216038.6	55	54	s3_r3	s3
ENST00000216039.9	58	9	s3_r3	s3
ENST00000216044.10	73	3	s3_r3	s3
ENST00000216061.9	29	1	s3_r3	s3
ENST00000216068.9	46	19	s3_r3	s3
ENST00000216080.5	46	22	s3_r3	s3
ENST00000216085.12	80	10	s3_r3	s3
ENST00000216101.7	135	1	s3_r3	s3
ENST00000216106.6	71	12	s3_r3	s3
ENST00000216117.9	112	145	s3_r3	s3
ENST00000216121.12	95	23	s3_r3	s3
ENST00000216122.9	156	3	s3_r3	s3
ENST00000216124.10	27	5	s3_r3	s3
ENST00000216129.7	98	1	s3_r3	s3
ENST00000216146.9	58	1564	s3_r3	s3
ENST00000216160.11	40	5	s3_r3	s3
