contig	polya_length	coverage	run	condition
ENST00000206595.11	244	3	s2_r2	s2
ENST00000207636.9	41	4	s2_r2	s2
ENST00000209873.9	20	5	s2_r2	s2
ENST00000209875.9	76	10	s2_r2	s2
ENST00000209884.5	116	2	s2_r2	s2
ENST00000210060.12	50	26	s2_r2	s2
ENST00000210313.8	190	8	s2_r2	s2
ENST00000210444.6	48	38	s2_r2	s2
ENST00000211314.5	116	5	s2_r2	s2
ENST00000211372.9	44	207	s2_r2	s2
ENST00000211379.9	67	2	s2_r2	s2
ENST00000211402.10	80	3	s2_r2	s2
ENST00000211998.10	234	5	s2_r2	s2
ENST00000214869.7	102	21	s2_r2	s2
ENST00000214893.9	26	1	s2_r2	s2
ENST00000215057.7	87	1	s2_r2	s2
ENST00000215061.9	58	1	s2_r2	s2
ENST00000215071.9	54	51	s2_r2	s2
ENST00000215115.5	58	29	s2_r2	s2
ENST00000215375.7	53	7	s2_r2	s2
ENST00000215555.7	174	6	s2_r2	s2
ENST00000215565.3	56	39	s2_r2	s2
ENST00000215567.10	110	17	s2_r2	s2
ENST00000215570.8	54	41	s2_r2	s2
ENST00000215574.9	135	10	s2_r2	s2
ENST00000215587.11	68	1	s2_r2	s2
ENST00000215631.9	123	3	s2_r2	s2
ENST00000215659.13	132	4	s2_r2	s2
ENST00000215730.12	93	6	s2_r2	s2
ENST00000215742.9	24	1	s2_r2	s2
ENST00000215754.8	64	135	s2_r2	s2
ENST00000215790.12	112	16	s2_r2	s2
ENST00000215793.13	56	7	s2_r2	s2
ENST00000215829.8	153	34	s2_r2	s2
ENST00000215832.11	83	17	s2_r2	s2
ENST00000215862.8	171	1	s2_r2	s2
ENST00000215882.10	58	35	s2_r2	s2
ENST00000215904.7	147	7	s2_r2	s2
ENST00000215906.6	46	3	s2_r2	s2
ENST00000215909.10	55	1361	s2_r2	s2
ENST00000215912.10	84	1	s2_r2	s2
ENST00000215917.11	103	8	s2_r2	s2
ENST00000215919.3	132	2	s2_r2	s2
ENST00000215941.9	146	5	s2_r2	s2
ENST00000215956.10	63	4	s2_r2	s2
ENST00000215957.10	79	4	s2_r2	s2
ENST00000216014.9	58	72	s2_r2	s2
ENST00000216027.8	120	1	s2_r2	s2
ENST00000216029.7	29	4	s2_r2	s2
ENST00000216034.6	80	25	s2_r2	s2
ENST00000216037.10	40	76	s2_r2	s2
ENST00000216038.6	43	23	s2_r2	s2
ENST00000216039.9	126	7	s2_r2	s2
ENST00000216044.10	106	8	s2_r2	s2
ENST00000216061.9	69	1	s2_r2	s2
ENST00000216068.9	88	4	s2_r2	s2
ENST00000216080.5	130	12	s2_r2	s2
ENST00000216085.12	287	3	s2_r2	s2
ENST00000216106.6	11	3	s2_r2	s2
ENST00000216117.9	102	130	s2_r2	s2
ENST00000216121.12	39	14	s2_r2	s2
