contig	polya_length	coverage	run	condition
ENST00000202556.14	220	3	s4_r1	s4
ENST00000202677.12	73	1	s4_r1	s4
ENST00000202773.14	58	1729	s4_r1	s4
ENST00000202816.5	108	7	s4_r1	s4
ENST00000202834.11	63	98	s4_r1	s4
ENST00000202917.10	102	1	s4_r1	s4
ENST00000203001.7	120	19	s4_r1	s4
ENST00000203407.6	49	103	s4_r1	s4
ENST00000203556.9	63	1	s4_r1	s4
ENST00000203630.10	105	198	s4_r1	s4
ENST00000203664.10	59	2	s4_r1	s4
ENST00000204005.13	40	1	s4_r1	s4
ENST00000204517.11	83	4	s4_r1	s4
ENST00000204549.9	109	8	s4_r1	s4
ENST00000204566.7	68	49	s4_r1	s4
ENST00000204679.9	144	95	s4_r1	s4
ENST00000204726.8	97	20	s4_r1	s4
ENST00000204961.5	13	11	s4_r1	s4
ENST00000205061.9	162	31	s4_r1	s4
ENST00000205194.5	45	23	s4_r1	s4
ENST00000205402.10	67	35	s4_r1	s4
ENST00000205636.4	101	102	s4_r1	s4
ENST00000206020.8	36	57	s4_r1	s4
ENST00000206262.2	77	7	s4_r1	s4
ENST00000206380.8	39	17	s4_r1	s4
ENST00000206423.8	131	676	s4_r1	s4
ENST00000206451.11	56	30	s4_r1	s4
ENST00000206474.11	87	2	s4_r1	s4
ENST00000206542.9	48	15	s4_r1	s4
ENST00000206595.11	38	12	s4_r1	s4
ENST00000207157.7	58	1	s4_r1	s4
ENST00000207636.9	48	1	s4_r1	s4
ENST00000207870.8	64	1	s4_r1	s4
ENST00000209728.9	121	1	s4_r1	s4
ENST00000209873.9	34	7	s4_r1	s4
ENST00000209875.9	108	21	s4_r1	s4
ENST00000209884.5	117	3	s4_r1	s4
ENST00000210060.12	43	42	s4_r1	s4
ENST00000210313.8	27	23	s4_r1	s4
ENST00000210444.6	55	84	s4_r1	s4
ENST00000211314.5	138	25	s4_r1	s4
ENST00000211372.9	45	546	s4_r1	s4
ENST00000211379.9	110	4	s4_r1	s4
ENST00000211402.10	60	4	s4_r1	s4
ENST00000211936.10	209	1	s4_r1	s4
ENST00000211998.10	25	9	s4_r1	s4
ENST00000212015.11	62	3	s4_r1	s4
ENST00000212355.9	123	2	s4_r1	s4
ENST00000214869.7	115	76	s4_r1	s4
ENST00000214893.9	189	6	s4_r1	s4
ENST00000215057.7	55	4	s4_r1	s4
ENST00000215061.9	74	1	s4_r1	s4
ENST00000215071.9	50	126	s4_r1	s4
ENST00000215115.5	46	71	s4_r1	s4
ENST00000215375.7	57	12	s4_r1	s4
ENST00000215555.7	97	20	s4_r1	s4
ENST00000215565.3	49	100	s4_r1	s4
ENST00000215567.10	64	41	s4_r1	s4
ENST00000215570.8	102	81	s4_r1	s4
ENST00000215574.9	105	30	s4_r1	s4
ENST00000215587.11	26	1	s4_r1	s4
ENST00000215631.9	29	11	s4_r1	s4
ENST00000215659.13	100	15	s4_r1	s4
ENST00000215727.10	42	1	s4_r1	s4
ENST00000215730.12	163	16	s4_r1	s4
ENST00000215742.9	111	3	s4_r1	s4
ENST00000215743.8	184	3	s4_r1	s4
ENST00000215754.8	61	254	s4_r1	s4
ENST00000215790.12	80	34	s4_r1	s4
ENST00000215793.13	78	22	s4_r1	s4
ENST00000215794.8	184	1	s4_r1	s4
ENST00000215829.8	34	64	s4_r1	s4
ENST00000215832.11	52	59	s4_r1	s4
ENST00000215838.8	180	3	s4_r1	s4
ENST00000215862.8	112	3	s4_r1	s4
ENST00000215882.10	44	128	s4_r1	s4
ENST00000215904.7	76	23	s4_r1	s4
ENST00000215906.6	87	7	s4_r1	s4
ENST00000215909.10	54	3398	s4_r1	s4
ENST00000215912.10	124	8	s4_r1	s4
ENST00000215917.11	102	18	s4_r1	s4
ENST00000215919.3	20	4	s4_r1	s4
ENST00000215941.9	107	13	s4_r1	s4
ENST00000215956.10	45	6	s4_r1	s4
ENST00000215957.10	54	21	s4_r1	s4
ENST00000216014.9	51	200	s4_r1	s4
ENST00000216019.11	17	1	s4_r1	s4
ENST00000216027.8	118	8	s4_r1	s4
ENST00000216029.7	109	18	s4_r1	s4
ENST00000216034.6	70	65	s4_r1	s4
ENST00000216037.10	46	194	s4_r1	s4
ENST00000216038.6	90	79	s4_r1	s4
ENST00000216039.9	79	12	s4_r1	s4
ENST00000216044.10	36	14	s4_r1	s4
ENST00000216061.9	73	2	s4_r1	s4
ENST00000216068.9	58	16	s4_r1	s4
ENST00000216080.5	84	27	s4_r1	s4
ENST00000216083.6	82	1	s4_r1	s4
ENST00000216085.12	127	12	s4_r1	s4
ENST00000216101.7	162	1	s4_r1	s4
ENST00000216106.6	54	7	s4_r1	s4
ENST00000216117.9	63	369	s4_r1	s4
ENST00000216121.12	43	37	s4_r1	s4
ENST00000216122.9	49	11	s4_r1	s4
ENST00000216124.10	148	15	s4_r1	s4
ENST00000216127.5	145	6	s4_r1	s4
ENST00000216129.7	39	15	s4_r1	s4
ENST00000216133.10	47	3	s4_r1	s4
ENST00000216146.9	57	1778	s4_r1	s4
ENST00000216160.11	50	12	s4_r1	s4
ENST00000216181.11	59	412	s4_r1	s4
ENST00000216185.7	59	42	s4_r1	s4
ENST00000216190.13	49	160	s4_r1	s4
ENST00000216194.11	86	1	s4_r1	s4
ENST00000216218.8	55	205	s4_r1	s4
ENST00000216225.9	58	116	s4_r1	s4
ENST00000216237.10	124	8	s4_r1	s4
ENST00000216252.4	47	46	s4_r1	s4
ENST00000216254.9	71	27	s4_r1	s4
ENST00000216259.8	55	44	s4_r1	s4
ENST00000216264.13	70	90	s4_r1	s4
ENST00000216267.12	214	2	s4_r1	s4
ENST00000216268.6	34	11	s4_r1	s4
ENST00000216271.10	191	4	s4_r1	s4
ENST00000216277.13	34	64	s4_r1	s4
ENST00000216281.13	136	530	s4_r1	s4
ENST00000216286.10	204	9	s4_r1	s4
ENST00000216288.11	28	4	s4_r1	s4
ENST00000216294.5	39	25	s4_r1	s4
ENST00000216297.7	64	43	s4_r1	s4
ENST00000216330.7	73	28	s4_r1	s4
ENST00000216350.12	34	3	s4_r1	s4
ENST00000216367.10	20	1	s4_r1	s4
ENST00000216373.10	103	2	s4_r1	s4
ENST00000216392.8	145	58	s4_r1	s4
ENST00000216410.8	145	41	s4_r1	s4
ENST00000216416.9	48	223	s4_r1	s4
ENST00000216420.12	41	11	s4_r1	s4
ENST00000216442.12	44	71	s4_r1	s4
ENST00000216446.9	143	14	s4_r1	s4
ENST00000216452.9	116	11	s4_r1	s4
ENST00000216455.9	49	97	s4_r1	s4
ENST00000216463.8	55	2	s4_r1	s4
ENST00000216465.10	34	9	s4_r1	s4
ENST00000216468.8	54	10	s4_r1	s4
ENST00000216479.8	41	67	s4_r1	s4
ENST00000216481.10	9	1	s4_r1	s4
ENST00000216484.7	101	25	s4_r1	s4
ENST00000216487.12	72	8	s4_r1	s4
ENST00000216489.8	131	9	s4_r1	s4
ENST00000216500.9	130	23	s4_r1	s4
ENST00000216513.5	13	6	s4_r1	s4
ENST00000216520.6	119	1	s4_r1	s4
ENST00000216554.8	119	121	s4_r1	s4
ENST00000216602.10	115	1	s4_r1	s4
ENST00000216629.11	49	57	s4_r1	s4
ENST00000216639.8	53	1	s4_r1	s4
ENST00000216714.8	39	72	s4_r1	s4
ENST00000216727.9	53	37	s4_r1	s4
ENST00000216756.11	94	13	s4_r1	s4
ENST00000216774.11	160	23	s4_r1	s4
ENST00000216780.9	37	20	s4_r1	s4
ENST00000216797.10	47	58	s4_r1	s4
ENST00000216799.9	44	5	s4_r1	s4
ENST00000216802.10	59	27	s4_r1	s4
ENST00000216807.12	41	8	s4_r1	s4
ENST00000216832.9	79	17	s4_r1	s4
ENST00000216840.11	78	14	s4_r1	s4
ENST00000216862.8	184	2	s4_r1	s4
ENST00000216877.10	50	27	s4_r1	s4
ENST00000216879.9	47	23	s4_r1	s4
ENST00000216923.5	156	1	s4_r1	s4
ENST00000216962.9	80	54	s4_r1	s4
ENST00000216968.5	119	47	s4_r1	s4
ENST00000217109.9	55	14	s4_r1	s4
ENST00000217121.9	62	7	s4_r1	s4
ENST00000217131.6	127	10	s4_r1	s4
ENST00000217173.7	44	1	s4_r1	s4
ENST00000217182.6	49	21	s4_r1	s4
ENST00000217195.12	60	3	s4_r1	s4
ENST00000217233.9	55	57	s4_r1	s4
ENST00000217244.9	77	16	s4_r1	s4
ENST00000217289.9	34	5	s4_r1	s4
ENST00000217315.9	98	7	s4_r1	s4
ENST00000217381.3	61	41	s4_r1	s4
ENST00000217402.3	39	51	s4_r1	s4
ENST00000217426.7	61	108	s4_r1	s4
ENST00000217446.8	114	18	s4_r1	s4
ENST00000217455.9	60	11	s4_r1	s4
ENST00000217456.3	147	119	s4_r1	s4
ENST00000217515.11	34	66	s4_r1	s4
ENST00000217652.8	51	829	s4_r1	s4
ENST00000217890.10	106	1	s4_r1	s4
ENST00000217893.10	56	22	s4_r1	s4
ENST00000217901.10	43	19	s4_r1	s4
ENST00000217909.8	126	4	s4_r1	s4
ENST00000217939.7	142	2	s4_r1	s4
ENST00000217958.8	51	56	s4_r1	s4
ENST00000217961.5	101	5	s4_r1	s4
ENST00000217971.8	51	290	s4_r1	s4
ENST00000218056.9	83	20	s4_r1	s4
ENST00000218104.6	140	10	s4_r1	s4
ENST00000218197.9	52	1	s4_r1	s4
ENST00000218224.8	160	1	s4_r1	s4
ENST00000218230.6	182	1	s4_r1	s4
ENST00000218340.4	65	12	s4_r1	s4
ENST00000218348.7	90	10	s4_r1	s4
ENST00000218364.5	77	16	s4_r1	s4
ENST00000218388.9	142	4958	s4_r1	s4
ENST00000218516.4	63	16	s4_r1	s4
ENST00000218652.11	127	40	s4_r1	s4
ENST00000218758.9	149	1	s4_r1	s4
ENST00000218789.9	206	1	s4_r1	s4
ENST00000219066.5	61	9	s4_r1	s4
ENST00000219069.6	126	15	s4_r1	s4
ENST00000219070.9	172	1262	s4_r1	s4
ENST00000219097.7	146	1	s4_r1	s4
ENST00000219139.8	131	11	s4_r1	s4
ENST00000219150.10	42	2	s4_r1	s4
ENST00000219168.8	74	2	s4_r1	s4
ENST00000219169.9	46	59	s4_r1	s4
ENST00000219204.8	49	66	s4_r1	s4
ENST00000219240.9	49	2	s4_r1	s4
ENST00000219252.10	99	59	s4_r1	s4
ENST00000219271.4	43	2	s4_r1	s4
ENST00000219281.8	91	4	s4_r1	s4
ENST00000219299.8	34	3	s4_r1	s4
ENST00000219302.8	62	32	s4_r1	s4
ENST00000219313.9	35	86	s4_r1	s4
ENST00000219315.9	113	3	s4_r1	s4
ENST00000219320.9	96	8	s4_r1	s4
ENST00000219343.11	205	2	s4_r1	s4
ENST00000219345.10	127	60	s4_r1	s4
ENST00000219400.8	44	9	s4_r1	s4
ENST00000219431.4	173	5	s4_r1	s4
ENST00000219439.9	73	13	s4_r1	s4
ENST00000219473.12	55	38	s4_r1	s4
ENST00000219476.9	134	2	s4_r1	s4
ENST00000219478.11	58	6	s4_r1	s4
ENST00000219479.7	59	96	s4_r1	s4
ENST00000219535.7	63	5	s4_r1	s4
ENST00000219542.3	110	3	s4_r1	s4
ENST00000219548.9	52	108	s4_r1	s4
ENST00000219611.7	110	10	s4_r1	s4
ENST00000219689.12	94	5	s4_r1	s4
ENST00000219771.7	149	1	s4_r1	s4
ENST00000219782.10	68	16	s4_r1	s4
ENST00000219789.11	51	81	s4_r1	s4
ENST00000219794.11	34	39	s4_r1	s4
ENST00000219837.12	57	12	s4_r1	s4
ENST00000219905.12	202	3	s4_r1	s4
ENST00000220003.14	67	20	s4_r1	s4
ENST00000220058.9	178	13	s4_r1	s4
ENST00000220166.10	117	9	s4_r1	s4
ENST00000220244.7	178	67	s4_r1	s4
ENST00000220325.9	53	42	s4_r1	s4
ENST00000220429.12	137	3	s4_r1	s4
ENST00000220496.9	155	5	s4_r1	s4
ENST00000220509.10	56	23	s4_r1	s4
ENST00000220531.9	92	23	s4_r1	s4
ENST00000220562.9	128	13	s4_r1	s4
ENST00000220584.9	46	32	s4_r1	s4
ENST00000220592.10	52	7	s4_r1	s4
ENST00000220659.11	68	14	s4_r1	s4
ENST00000220669.10	31	18	s4_r1	s4
ENST00000220751.5	56	16	s4_r1	s4
ENST00000220763.10	152	55	s4_r1	s4
ENST00000220764.7	41	32	s4_r1	s4
ENST00000220772.8	141	165	s4_r1	s4
ENST00000220809.9	46	209	s4_r1	s4
ENST00000220847.8	122	1	s4_r1	s4
ENST00000220849.10	54	150	s4_r1	s4
ENST00000220853.8	79	30	s4_r1	s4
ENST00000220876.12	82	19	s4_r1	s4
ENST00000220913.10	29	13	s4_r1	s4
ENST00000220959.8	66	2	s4_r1	s4
ENST00000220966.10	89	3	s4_r1	s4
ENST00000221086.8	57	14	s4_r1	s4
ENST00000221114.8	61	20	s4_r1	s4
ENST00000221130.11	62	31	s4_r1	s4
ENST00000221132.8	75	7	s4_r1	s4
ENST00000221138.9	39	92	s4_r1	s4
ENST00000221200.9	129	30	s4_r1	s4
ENST00000221232.11	68	13	s4_r1	s4
ENST00000221233.9	79	7	s4_r1	s4
ENST00000221249.10	44	14	s4_r1	s4
ENST00000221264.8	71	14	s4_r1	s4
ENST00000221265.8	52	3	s4_r1	s4
ENST00000221283.10	123	1	s4_r1	s4
ENST00000221315.10	132	4	s4_r1	s4
ENST00000221363.8	173	4	s4_r1	s4
ENST00000221418.9	52	16	s4_r1	s4
ENST00000221419.10	87	9	s4_r1	s4
ENST00000221431.11	35	6	s4_r1	s4
ENST00000221448.9	133	1	s4_r1	s4
ENST00000221452.13	76	4	s4_r1	s4
ENST00000221455.8	334	1	s4_r1	s4
