contig	polya_length	coverage	run	condition
ENST00000199320.9	130	33	s3_r1	s3
ENST00000199389.11	44	69	s3_r1	s3
ENST00000199448.9	69	78	s3_r1	s3
ENST00000199706.13	68	31	s3_r1	s3
ENST00000199814.9	76	26	s3_r1	s3
ENST00000200135.8	50	15	s3_r1	s3
ENST00000200453.6	35	56	s3_r1	s3
ENST00000200457.9	48	43	s3_r1	s3
ENST00000200639.9	152	85	s3_r1	s3
ENST00000200652.4	81	5	s3_r1	s3
ENST00000200691.5	92	5	s3_r1	s3
ENST00000201015.8	226	4	s3_r1	s3
ENST00000201647.11	83	1	s3_r1	s3
ENST00000202017.6	60	15	s3_r1	s3
ENST00000202028.9	115	5	s3_r1	s3
ENST00000202556.14	252	1	s3_r1	s3
ENST00000202677.12	23	1	s3_r1	s3
ENST00000202773.14	62	1415	s3_r1	s3
ENST00000202816.5	180	5	s3_r1	s3
ENST00000202831.7	15	1	s3_r1	s3
ENST00000202834.11	73	99	s3_r1	s3
ENST00000203001.7	135	9	s3_r1	s3
ENST00000203407.6	49	105	s3_r1	s3
ENST00000203556.9	172	2	s3_r1	s3
ENST00000203629.3	221	1	s3_r1	s3
ENST00000203630.10	53	167	s3_r1	s3
ENST00000204005.13	49	1	s3_r1	s3
ENST00000204517.11	36	2	s3_r1	s3
ENST00000204549.9	15	8	s3_r1	s3
ENST00000204566.7	61	39	s3_r1	s3
ENST00000204679.9	112	92	s3_r1	s3
ENST00000204726.8	54	15	s3_r1	s3
ENST00000204961.5	63	13	s3_r1	s3
ENST00000205061.9	123	20	s3_r1	s3
ENST00000205135.8	116	3	s3_r1	s3
ENST00000205194.5	62	20	s3_r1	s3
ENST00000205214.11	133	1	s3_r1	s3
ENST00000205402.10	99	29	s3_r1	s3
ENST00000205636.4	58	63	s3_r1	s3
ENST00000206020.8	118	45	s3_r1	s3
ENST00000206262.2	139	3	s3_r1	s3
ENST00000206380.8	73	8	s3_r1	s3
ENST00000206423.8	130	486	s3_r1	s3
ENST00000206451.11	105	13	s3_r1	s3
ENST00000206474.11	25	3	s3_r1	s3
ENST00000206542.9	97	16	s3_r1	s3
ENST00000206544.8	106	2	s3_r1	s3
ENST00000206595.11	113	10	s3_r1	s3
ENST00000207549.9	164	1	s3_r1	s3
ENST00000209873.9	44	6	s3_r1	s3
ENST00000209875.9	50	19	s3_r1	s3
ENST00000209884.5	53	5	s3_r1	s3
ENST00000210060.12	38	26	s3_r1	s3
ENST00000210313.8	81	23	s3_r1	s3
ENST00000210444.6	46	67	s3_r1	s3
ENST00000211287.9	156	1	s3_r1	s3
ENST00000211314.5	114	17	s3_r1	s3
ENST00000211372.9	43	475	s3_r1	s3
ENST00000211379.9	54	12	s3_r1	s3
ENST00000211402.10	66	3	s3_r1	s3
ENST00000211936.10	53	1	s3_r1	s3
ENST00000211998.10	144	17	s3_r1	s3
ENST00000212015.11	42	4	s3_r1	s3
ENST00000212355.9	54	1	s3_r1	s3
ENST00000214869.7	124	47	s3_r1	s3
ENST00000214893.9	152	1	s3_r1	s3
ENST00000215057.7	167	3	s3_r1	s3
ENST00000215061.9	89	3	s3_r1	s3
ENST00000215071.9	53	92	s3_r1	s3
ENST00000215115.5	49	48	s3_r1	s3
ENST00000215375.7	81	10	s3_r1	s3
ENST00000215555.7	74	7	s3_r1	s3
ENST00000215565.3	50	66	s3_r1	s3
ENST00000215567.10	48	24	s3_r1	s3
ENST00000215570.8	79	76	s3_r1	s3
ENST00000215574.9	85	30	s3_r1	s3
ENST00000215587.11	33	3	s3_r1	s3
ENST00000215631.9	146	8	s3_r1	s3
ENST00000215659.13	69	4	s3_r1	s3
ENST00000215730.12	52	20	s3_r1	s3
ENST00000215754.8	66	176	s3_r1	s3
ENST00000215790.12	57	22	s3_r1	s3
ENST00000215793.13	45	22	s3_r1	s3
ENST00000215829.8	59	67	s3_r1	s3
ENST00000215832.11	93	39	s3_r1	s3
ENST00000215838.8	58	2	s3_r1	s3
ENST00000215862.8	40	5	s3_r1	s3
ENST00000215882.10	50	80	s3_r1	s3
ENST00000215886.6	34	1	s3_r1	s3
ENST00000215904.7	128	18	s3_r1	s3
ENST00000215906.6	88	4	s3_r1	s3
ENST00000215909.10	56	2219	s3_r1	s3
ENST00000215912.10	54	10	s3_r1	s3
ENST00000215917.11	52	18	s3_r1	s3
ENST00000215919.3	108	4	s3_r1	s3
ENST00000215941.9	86	13	s3_r1	s3
ENST00000215956.10	69	4	s3_r1	s3
ENST00000215957.10	108	13	s3_r1	s3
