transcript	log_count	FC	mrna_ont_C3	mrna_ont_C4	HGNC symbol
ENST00000579408	10.339478673003807	0.011498228337638139	10.333729558834987	10.345227787172625	RPL17
ENST00000434494	9.801685707406635	-0.2934673074995544	9.948419361156413	9.654952053656858	PDIA3
ENST00000225831	10.77121862575493	-1.1886293892200417	11.36553332036495	10.176903931144908	CCL2
ENST00000644185	10.33460127697813	0.05446343578935853	10.307369559083451	10.36183299487281	RPL15
ENST00000506397	10.44172781280075	-0.14181326705488928	10.512634446328194	10.370821179273305	RPL34
ENST00000529639	10.369033081913658	0.011917288721740249	10.363074437552788	10.374991726274528	FAU
ENST00000196061	9.887782414375543	-0.04690789379187166	9.911236361271479	9.864328467479607	PLOD1
ENST00000417088	9.822072516832538	0.6126822081632266	9.515731412750924	10.12841362091415	RPS28
ENST00000416518	10.36140255481964	-0.10604402923311085	10.414424569436195	10.308380540203084	RPL14
ENST00000217652	10.346420630496313	0.030724534912273782	10.331058363040176	10.36178289795245	MYL12A
ENST00000379056	10.207739327140619	-0.18551235500107843	10.300495504641159	10.11498314964008	TPT1
ENST00000321153	10.543598298601804	-0.1332026235283088	10.610199610365958	10.47699698683765	RPLP2
ENST00000421017	10.25138363198258	0.3703670723000254	10.066200095832569	10.436567168132594	ANXA2
ENST00000221975	10.27813871688626	0.09716800078882137	10.22955471649185	10.32672271728067	RPS19
ENST00000398606	10.206291785485764	0.04799116099202294	10.182296204989752	10.230287365981775	GSTP1
ENST00000512737	10.075844234964983	0.1071500102597529	10.022269229835105	10.129419240094858	NME2
ENST00000225430	10.224623919299866	0.02796787438767545	10.210639982106027	10.238607856493703	RPL19
ENST00000270645	9.739708238236332	0.0034191214826346794	9.737998677495016	9.74141779897765	RCN3
ENST00000677310	9.856886312918107	-0.1207073297844996	9.917239977810356	9.796532648025856	ITGB1
ENST00000263341	9.728285613762338	0.5228959669165665	9.466837630304054	9.98973359722062	IL1B
ENST00000326577	9.964829826021031	-0.1193104074664948	10.024485029754278	9.905174622287783	TNFRSF12A
ENST00000559133	9.498557603875788	0.24693637274021363	9.37508941750568	9.622025790245894	FBN1
ENST00000617731	10.361740704265141	-0.02130105993898823	10.372391234234636	10.351090174295647	RPS17
ENST00000579248	10.051501454660542	0.48363945215763415	9.809681728581726	10.29332118073936	RPL17
ENST00000394920	10.151477731403673	0.01981296803786492	10.141571247384741	10.161384215422606	RPL8
ENST00000402285	10.047844327314497	0.0717259496707463	10.011981352479124	10.08370730214987	RPS27A
ENST00000527673	10.21406476216681	-0.06192662710794572	10.245028075720784	10.183101448612838	RPS25
ENST00000628770	10.21406476216681	-0.06192662710794572	10.245028075720784	10.183101448612838	RPS25
ENST00000504325	10.205202397882012	-0.06346912947445738	10.23693696261924	10.173467833144782	RACK1
ENST00000358435	10.123056720085447	-0.10277413354784848	10.174443786859372	10.071669653311524	TOMM7
ENST00000645674	10.129430801797572	0.27515270305464057	9.991854450270251	10.267007153324892	RPS7
ENST00000647841	10.233889947538906	0.012413524959075772	10.227683185059368	10.240096710018443	RPS17
ENST00000568588	10.217817786431958	-0.15832067421639628	10.296978123540157	10.13865744932376	RPL4
ENST00000391976	9.427904656379297	-0.03364068471441328	9.444724998736504	9.41108431402209	HDLBP
ENST00000601521	10.04509257625207	0.06124537993074952	10.014469886286696	10.075715266217445	RPS5
ENST00000339995	9.52991088891742	0.029660142200089723	9.515080817817376	9.544740960017466	EIF4G2
ENST00000334701	9.574576928468403	0.6381980318003677	9.25547791256822	9.893675944368587	HSP90AA1
ENST00000196551	10.001086125795823	0.08992164887336607	9.95612530135914	10.046046950232506	RPS5
ENST00000409840	10.460951488101148	-1.8876897344280064	11.40479635531515	9.517106620887144	SERPINE2
ENST00000378292	9.971084003158078	-0.0721550367942072	10.007161521555181	9.935006484760974	TPM2
ENST00000526895	10.051467441617813	-0.05551071177805689	10.07922279750684	10.023712085728784	RPS13
ENST00000550697	10.115575199132902	-0.35121930511012955	10.291184851687966	9.939965546577836	MYL6
ENST00000466397	9.99806980776328	0.07712002547911645	9.95950979502372	10.036629820502837	RPL29
ENST00000495383	9.993495633989927	0.08744123424133399	9.94977501686926	10.037216251110594	RPL29
ENST00000394945	9.71557289806772	-0.4435090300908744	9.937327413113156	9.493818383022282	SPOCK1
ENST00000211372	10.044062468793467	0.034918167032769176	10.026603385277083	10.061521552309852	RPS18
ENST00000434122	10.044062468793467	0.034918167032769176	10.026603385277083	10.061521552309852	RPS18
ENST00000454021	10.044062468793467	0.034918167032769176	10.026603385277083	10.061521552309852	RPS18
ENST00000457341	10.044062468793467	0.034918167032769176	10.026603385277083	10.061521552309852	RPS18
ENST00000479017	9.962769004819226	0.07572438538766413	9.924906812125393	10.000631197513057	RPL29
ENST00000439602	10.03923556390038	0.033026324792158945	10.0227224015043	10.055748726296459	RPS18
ENST00000584577	10.215284743939877	-0.049373845319966136	10.23997166659986	10.190597821279894	RPL38
ENST00000379743	10.445837023558084	-1.2999534610726844	11.095813754094427	9.795860293021743	POSTN
ENST00000570382	9.932540113796094	-0.05619303467737602	9.960636631134783	9.904443596457407	ACTG1
ENST00000394934	9.680210690377015	-0.20020403709629164	9.78031270892516	9.580108671828869	PSAP
ENST00000303436	9.86946103039794	-0.37943471416956775	10.059178387482724	9.679743673313157	ARF4
ENST00000552692	9.301414222900743	0.5168908638017182	9.042968790999884	9.559859654801603	CD63
ENST00000330938	9.569601693947696	-0.14922517149585524	9.644214279695625	9.49498910819977	PTTG1IP
ENST00000394936	9.656905405173013	-0.1978385662811153	9.755824688313572	9.557986122032457	PSAP
ENST00000526409	9.72631503939323	0.05685687662634109	9.697886601080059	9.7547434777064	
ENST00000430350	9.110519965547446	0.7435891846039109	8.73872537324549	9.482314557849401	PRNP
ENST00000233813	8.494300917090927	1.5438530870647282	7.722374373558563	9.266227460623291	IGFBP5
ENST00000651614	8.920380339110135	1.0204939025545787	8.410133387832845	9.430627290387424	IL6ST
ENST00000556230	10.096600163730685	-0.11419351644116738	10.153696921951267	10.0395034055101	RPS29
ENST00000379086	9.084728090326516	1.2074952777694001	8.480980451441816	9.688475729211216	P4HA2
